,season,year,seasonyear,designer,text
12,spring,2000,s2000,bcbg-max-azria,"For his Spring collection, BCBG designer Max Azria did just what he does best, distilling the season's major trends into fashion that's utterly wearable and accessible. Ecru, rust, raspberry, and mint green were the predominant shades, with floral prints and beading adding an ethnic touch. Suede skirts, dresses, and shells with appliqués looked great worn with lacquer boots and heels, while skimpy apron tops, layered multi-tulle skirts, and enamel cotton dresses embroidered with paillettes gave an extra spark to the sophisticated, sexy spirit of the collection.</p></div>"
13,spring,2000,s2000,betsey-johnson,"""Freedom Girls"" was the theme for Betsey Johnson's rambunctious, colorful presentation, set to DJ Mark Ronson's funky beats. And true to theme, the real-life models, ranging in age from ten years old to fifty something, who stalked the makeshift runway in Johnson's Seventh Avenue neon-pink and yellow showroom did radiate a sense of fashion, liberation. Johnson's signature playful prints showed up in sexy baby doll halters, micro-cardigans, peasant skirts, and simple sheath dresses. ""Farm girl"" looks mingled with western ensembles of flared jeans with ruffles, and middle eastern-inspired shawls and skirts. ""This is a celebration of personal style,"" declared Johnson, who also served as the show's emcee.</p></div>"
14,spring,2000,s2000,bill-blass,"The audience gave an enthusiastic standing ovation at the end of Bill Blass' historic final presentation. It was a well-deserved send-off for a true master of American fashion, who has decided to retire after decades of designing glorious American sportswear. His swan-song offered plenty of Blass favorites: floral organza strapless dresses, embroidered sweater and skirt sets and clean, sophisticated suits in black and ivory. There were also some fun, youthful twists in his farewell collection, including zebra-print column gowns, beaded hot pants, and bold tops and skirts in vivid shades of aqua, red and pink. It was a fitting finale for one of this country's best designers.</p></div>"
15,spring,2000,s2000,blumarine,"""Two-thousand-and-one nights: global chic"" was the inspiration for Anna Molinari's raucously festive Blumarine collection. Wandering from east to west on a magic fur-trimmed, bejeweled carpet, the designer toyed with bikinis in cashmere and sequins as evening wear; urban <em>tailleurs</em> were alternated with her signature feminine knits. Ethnic motifs appeared everywhere in the form of beaded dragon appliques, Indian-style embroidery and African zebra prints. Pushing the decoration envelope to the max, Molinari turned the rose, Blumarine's symbol, into the leitmotif for a rich series of evening dresses that dripped with waterfalls of the flower's shiny petals.</p></div>"
16,spring,2000,s2000,bottega-veneta,"Bottega Veneta showed a line of simple, easygoing separates, including shimmery coral tops, ecru leather pantsuits and beaded cardigans. But in keeping with the luxury leather house's roots, the true stars of the show were their signature handbags, which came down the runway with nearly every outfit. There were oversized carry-alls, simple clutches, and large, square hard cases in sophisticated taupe as well as spring's essential colors: lime green and pink.</p></div>"
17,spring,2000,s2000,bruce,"Daphne Gutierrez and Nicole Noselli, the girls behind Bruce, held an inspirational, glamorous and seductive presentation centered around sumptuous leather skirts and jackets, ruched tanks and no-nonsense trousers. The pieces successfully walked the fine line between avant-garde minimalism and jet-set glamour: Slate-gray satin cocktail dresses shared the runway with crocheted tops and leather pants with gathered cuffs. The sobriety of the designs extended to the classic boots and snakeskin heels that blended in perfectly with the collection.</p></div>"
18,spring,2000,s2000,burberry-prorsum,"Designer Roberto Menechetti's new take on an old British house was more feminine and fun than in previous seasons. There were sexy, double-breasted biker jackets in sueded leather that looked like they had been biking for years, cute mini dresses in a ""new"" Burberry check (it has the old camel-and-red colorway with a lino feel to the print), long, flowing skirts in iridescent lilac silk and macs in ultra-light sailcloth printed with the new check on a lilac or green background. It was an identifiably Burberry collection, but Menechetti seems to be getting closer to a modern British style.</p></div>"
19,spring,2000,s2000,byblos,"""Judo Jetson blends my favorite cartoon character with spiritual Japanese influences,"" said John Bartlett about the opening part of his Byblos show, which featured white and black linen jackets with tie waistbands, sharply tailored capri pants and asymmetrical skirts. The clean, almost clinical looks eventually gave way to an array of satin pieces with geometric designs in shades of turquoise, pink and pale blue, often paired with crisp gray pants and jackets. Bartlett's inspiration? ""The second part of the collection was all about Jackie O. on acid,"" he explained. Of course—who wouldn'ave guessed it?</p></div>"
20,spring,2000,s2000,calvin-klein-collection,"Fashion's king of minimalism showed a romantic, ethereal collection that played with almost imperceptible variations of light and pattern. Colors went from white to putty and pale blue to light gray in fabrics that were sheer and airy. Sophisticated coats and jackets were treated like redefined button-down shirts. Suits were feather-light but tailored razor-sharp, and classic dresses with built-in underwire bras brought the collection into the new millennium with the use of technologically advanced materials like micro-pinstripe opaque jersey.</p></div>"
21,spring,2000,s2000,carolina-herrera,"Carolina Herrera took a playful turn for spring 2000, displaying a youthful, modern feeling that was balanced by her trademark ladylike sophistication. Never one to take fashion over the top, Herrera featured plenty of luscious colors, including beaded pink and chartreuse camisoles and dresses, rich Moroccan embroideries, and buttery-soft suede trousers. The evening looks brought to mind a daring debutante: citron silk crepe backless halter gowns, full taffeta skirts, and ruffled shirts paired with floor-length A-line skirts. ""The mood for 2000 is feminine, luxurious and seductive,"" explained Herrera. ""We need a lot of color and energy.""</p></div>"
22,spring,2000,s2000,celine,"Getaway glamour was the theme for Celine's striking presentation: Jennifer Lopez meets Jackie O. in St. Tropez, of course, for fun in the sun. Duran Duran blared on the speakers as Michael Kors sent out a procession of hand-bleached silk denim ensembles--a new and luxurious take on acid wash, that reliable '80s favorite, this time around with matching oversized travel bags. Dresses and tops in suede and jersey followed. The fabrics were as light and easy to wear as the colors Kors favored: watercolor blue, pale turquoise and bright chartreuse. Kors' penchant for easy luxury extended to the glove-leather vests, chrome-studded cashmere T-shirts, and crystal-encrusted sarongs--which would work equally well on the beach or as evening wear by a bonfire. The accessories were no less striking: clear Lucite bracelets, stiletto mules and, of course, logo-emblazoned totes. It was an accomplished, playful collection punctuated by Kors' trademark simplicity of design and the richness of the fabrics he employed.</p></div>"
23,spring,2000,s2000,cerruti,"Cerruti has a well-built reputation for producing classically tailored, elegant daywear in top-quality fabrics. Peter Speliopolous, who took over the creative reins from Narciso Rodriguez a couple of seasons ago, has successfully capitalized on the traditional house's strengths, and simultaneously infused the clothes with a younger attitude. This season the look was perfect for a summer picnic on the Riviera: Onionskin jerseys, feminine wraps, delicately ruched dresses, and Spanish-inspired skirts evoked a modern interpretation of an impressionist painting. Cutout designs, paillette accents, and very delicate embroidery on light, simply cut fabrics proved how the combination of American sensibility with European tradition and craft is working at Cerruti.</p></div>"
24,spring,2000,s2000,chalayan,"Looking at Hussein Chalayan's work is a bit like looking at a painting by an old master—you know immediately who painted it, and that it is the work of a great artist. This show, which opened with dresses with voluminous skirts of multiple gores, was the work of a fashion master. Chalayan displayed an incredible body of work tonight, from his perfectly executed, simple white dresses with their geometric ruffles at the armhole, to semi-opaque pink slips with frills that skimmed down the bodice of the dress and disappeared under the skirt only to reappear hanging from beneath it. There were several pieces de resistance—an inflatable orange dress that was pumped up on stage, a baby pink moulded plastic dress that was opened up by a remote control panel held by a young boy to reveal a froth of pink tulle underneath, and the grand finale - five models in deconstructed corsets in acid brights and matching pleated skirts. As they stood motionless on stage, the floor literally opened and the girls were swallowed into the depths of the theatre. A great achievement for such a young man, this is the kind of show that will go down as a unique fashion moment.</p></div>"
25,spring,2000,s2000,chloe,"The grandiose Musée du Petit Palais served as the setting for Stella McCartney’s sensual collection. Fringed, frayed, ecru denim pieces opened the show, accessorized by white boots with high heels and bold ankle cuffs. A series of interesting embroidered pieces followed—delicate colored thread formed figures of women and animals on skirts, jeans, and jackets. The collection’s underlying theme of subtle opulence was underscored by the hand-painted jerseys, diamond-embroidered pieces and 24-K-gold chains that held together some tops or served as blouses. For McCartney’s customer, luxury, evidently, comes naturally.</p></div>"
26,spring,2000,s2000,christian-dior,"Couture blaxploitation, logos-a-go-go, leather-clad revolutionaries, whip-toting modern courtesans—where else but at Dior? John Galliano's romp started with a series of wildly sexy denim looks reminiscent of a glammed-out Foxy Brown: knee-high lace-up logo boots, foulard tops made out of Dior's signature print, frayed microskirts and supersexy tan leather pants. Just when you were ready to call the vice squad, out came a parade of eighteenth-century-inspired white, black, and red corsets with lace-up skirts and leggings (asymmetrically cut and with plenty of zippers and laces, of course). Insouciant dance-hall girls in enormous coiffures, velvet ensembles, polka dots, deconstructed suede, whips and satin getups followed. It doesn't get much closer to the fantasy of couture than this—and nobody makes it more fun than Galliano.</p></div>"
27,spring,2000,s2000,christian-lacroix,"It takes a master designer like Christian Lacroix to confidently mix a dizzying array of prints and make it work. Indeed, there was not a single solid piece in Christian Lacroix's strongly decorated collection, but there were plenty of flowers, colorful patchwork, polka dots, paisleys, beading, Kabuki motifs, petal embroidery and giant leaf prints. It was a visually arresting extravaganza that captured the soft, feminine side of spring 2000. If you're in the market for a garden party dress or an eye-catching number for those long summer nights, look no further.</p></div>"
28,spring,2000,s2000,clements-ribeiro,"""It's all about dots,"" said Inacio Ribeiro, who designs with his wife Suzanne Clements, of his collection. The first look out on the runway—a floaty yellow chiffon dress covered with multicolored dots and worn over a dotted bikini—was a strong opening for the collection. There were to-die-for lily-print coats, paisley chiffon skirts decorated with cellophane discs, lean trousers tied at the waist with airy chiffon bows and the most original draped sequin tops. And no one will be able to resist the latest Clements cashmere—a twinset combining chocolate and pistachio stripes, which was shown with cropped trousers in that divine pink and peppermint lily print.</p></div>"
29,spring,2000,s2000,comme-des-garcons,"Rei Kawakubo's designs are normally unsettling at first, somewhat confusing and, ultimately, incomparably beautiful. What begins as an assault on the senses slowly reveals itself as the work of a true artistic genius. For —pring 2000, Kawakubo continued her ongoing experimentation with proportions, layering, pleats and ruffles, creating some of the most original pieces of the season. Ballerina tights were stuffed with layers of chiffon that peeked sheepishly from the girls' thighs. Olive-green army jackets and fatigues were broken down and reconfigured to create flowing skirts and rumpled jackets with displaced shoulders. But at the heart of the collection was a series of shirts and dresses with unexpected abundance of texture and color. Evoking exotic flowers or intricate corals, Kawakubo piled yards of pink, fuchsia and red fabric into bundles of ruffles and pleats that dramatically redefined the silhouette. Flat surfaces suddenly blossomed into enormous volumes. Nothing old, nothing that has been done before—that's Comme des Garçons' mantra, and it's as true now as it's ever been.</p></div>"
30,spring,2000,s2000,costume-national,"""Leather and chiffon"" essentially summarizes Costume National's presentation, which did not stray far from the familiar looks of the season: simple, light, gauzy, often beaded and transparent dresses with plunging necklines and revealing backsides. In this case, they were shown alongside fitted leather coats, miniskirts, and very short suede shorts and skirts. The predominant color was black, though bursts of green, gray, and copper livened up the atmosphere.</p></div>"
31,spring,2000,s2000,cynthia-rowley,"Cynthia Rowley's dancehall-inspired presentation was held at a ballroom in the New Yorker hotel, where a couple did a brief waltz as a prelude to the show. The colorful collection was divided into four categories, each with its own distinctive feel: ""Hanky Panky"" featured earth-toned and yellow floral-embroidered dresses, painted leather trousers, and cashmere sweaters. ""Acapulco Gold"" included a crisp selection of white caftans, perforated shirts and dresses, and ribbon wraps. ""Snap out of it"" consisted of ultrasexy swimsuits and Op-Art-inspired dresses in white, salmon, and blue. The conclusion was ""Get Lit,"" which showcased party dresses with miniature lights under slinky layers of lace.</p></div>"
32,spring,2000,s2000,daryl-k,"Daryl K is best known for her urban survival gear, but she also has a longstanding obsession with '70s chic. This season she reconciled the two: Daryl's devotees will be glad to know that there are still plenty of hip-hugging, low-slung trousers, hurricane jackets, dark denim skirts and no-nonsense army blousons. But the '70s influence was obvious in her patchwork silk charmeuse kimono tops, sun-ray shirts with elaborate detailing, and ultra-sexy white vintage cotton tanks paired with bikini bottoms. All the looks were shown with simple wood wedges or supple leather no-heeled boots.</p></div>"
33,spring,2000,s2000,dkny,"At Friday's late-night show, Donna Karan's diffusion line, DKNY, celebrated ""the first ten years, the first New York store, the first fragrance and the first season of the millennium."" Indeed, with Boy George spinning the background music and a bevy of celebrities in attendance, the show reeled with festive energy. Karan kept the upbeat feeling both on and off the runway: Boys and girls strutted confidently down the catwalk in flesh-colored suede and leather, orange and acid-green nylon, and snake-embossed prints. For her finale, Karan showed a series of metallic denim pieces that sent the audience out—to her party—with a bang.</p></div>"
34,spring,2000,s2000,dolce-gabbana,"Dolce &amp; Gabbana are determined to party like it's 1999 for as long as they can, and are sparing no resources to do so. A typical look from their runway included a paisley-print transparent top, embroidered tapestry microskirt with oversized diamanté buckle, leopard tights, jewel-fringed boots and a glittering choker. For those who need a little something extra, there were also plenty of polka-dotted chiffon shirts, flapper tops and skirts, oversize fur hats and bags, beaded ties and buckets of rhinestones. Not satisfied? Slip into their teetering platform shoes, throw on a bejeweled bikini and top it off with a slouchy suit with shimmery appliqués. That should do the trick!</p></div>"
35,spring,2000,s2000,donna-karan,"Spring 2000 for Donna Karan revolved around the concept of ""Fusion—between the past and the future, the body and fabrics, the ancient arts of the East and the modern pace of the West."" As usual, Karan kept the palette elementary: indigo, black, nude and ivory showed up on soft jackets, scarf-like shirts and chic suits. Paper-thin kimonos and nude-colored suedes looked clean and modern, while hand-painted floral chiffons added a sensual feeling to the evening styles.</p></div>"
36,spring,2000,s2000,dries-van-noten,"Dries Van Noten strayed from the mainstream, as he often does, and showed a strong and directional line for Spring 2000. ""I wanted to create a collection about passion and love, something to prove that intensity is not necessarily about women with tight clothes and high heels,"" he explained. Instead, Van Noten created visions of femininity enveloped in voluminous skirts reminiscent of Spain and the south of France, delicately embroidered tops and wool shawls that could be wrapped asymmetrically around the body. Bright, contrasting colors added a youthful touch to the inspired designs.</p></div>"
37,spring,2000,s2000,ellen-tracy,"""There's a fresh, younger look to my collection this season,"" said designer Linda Allard before the Ellen Tracy show. ""Khaki pants and skirts are shorter, and we've incorporated a lot of color as well. The collection looks great with a sculpted, modern high heel and a simple gold link chain."" Other highlights included fire-engine red trenchcoats and shirts; linen knit tops; and jade, lilac and lavender jackets, wraps and tanks. Evening wear revolved around a colorful series of frosted beaded pants, slip dresses and long skirts in grape, cherry, yellow and pink.</p></div>"
38,spring,2000,s2000,elspeth-gibson,"Elspeth Gibson's look is as wearable as it is sweetly sexy. The dress-of-the-moment is either a white fitted broderie anglais shift or a soft silk frock printed with hot-pink flowers on a chocolate background. Sequined sweaters, lime-green chiffon skirts that dipped at the hem, gingham bikinis or skirts that revealed lots of leg, and crystal-covered halter dresses will make for a sublime summer wardrobe. Take it to St. Tropez.</p></div>"
39,spring,2000,s2000,emporio-armani,"""The Emporio Armani woman for the year 2000 is imaginative, eclectic, optimistic and self-assured,"" declared Giorgio Armani. His ideal woman, evidently, is also dressed in technologically advanced fabrics brushed with lacquered strokes; she is mad for pastels, from pink to aquamarine and sage; and she layers her clothing in a thoroughly modern way. Jackets were light and deconstructed, with simple details in contrasting color lace and snaps. Slim and refined pants were worn under semi-transparent skirts and sarongs; tanks were sexy and provocative, some with open backs, others elegant and long-sleeved. Armani's Emporio collection underscored once again the designer's uncanny ability for restrained innovation.</p></div>"
40,spring,2000,s2000,eric-bergere,"""Broadway Garnier"" was the theme for Eric Bergère's collection of <em>tailleurs,</em> flowing skirts with pleats, knit sweaters and ruched shirts. The intent may have been theatrical, but the result was '80s-inspired. There was an assortment of frayed denim pieces, shiny paisley shirts with long scarves, cocktail slips, and fringed bandeau tops. It seems as though Bergère, who is noted for the polish and sophistication of his work, was exploring new directions this season.</p></div>"
41,spring,2000,s2000,fendi,"Karl Lagerfeld presented one of the strongest collections of the season, propelling Fendi once and for all into the center of the fashion limelight. Their trademark accessories--snakeskin baguette purses, acid-colored totes and luxurious foulards--were impeccable as usual, but it was the clothes that took over the stage and captivated the audience. Lagerfeld toyed with the interaction between soft, flowing fabrics in feminine colors and shapes, and the hard-edged glamour of a Halston-clad Studio 54 diva. The result was an innovative, perfectly balanced silhouette. One-sleeved cocktail dresses, shiny patent leather with lace detailing, logo-emblazoned suits, sexy chiffon dresses, enormous driving sunglasses and futuristic metallic heels make up the wardrobe of the modern Fendi woman--a sophisticate who feels equally at home sipping cocktails at a garden party in Milan, attending a gala in New York or nightclub-hopping until dawn in Los Angeles.</p></div>"
42,spring,2000,s2000,genny,"Josephus Thimister successfully brought his sense of lofty experimentation to Genny in a collection inspired by Martha Graham's philosophy of dance. The emphasis was on body movement and the synergy between grace and strength. This became apparent through Thimister's choice of fabrics—fluorescent leather trousers and silk jersey tops contrasted with ballerina dresses in tulle and mousseline. Volume was achieved through the use of artful folds and gathering, and the palette was kept graphic and simple—black and white were the basic colors, enlivened with occasional crescendos of caramel, pink, orange and yellow. In all, Genny's show played like a well-balanced symphony of complementary opposites.</p></div>"
43,spring,2000,s2000,gianfranco-ferre,"Those who lust for the elaborate fantasy and craftsmanship of couture but who prefer prêt-à-porter will find a niche for their whimsical fantasies at Ferre. If there was ever a collection that exemplified unflinching, maximalist resolve, this is it. Ferre's background as an architect was apparent in his use of constructed bodices, grand ballroom skirts with wire underpinnings, origami-inspired dresses and dandyish suits with oversized cuffs. Decoration was, of course, a defining element for the entire collection, ranging from generous ruffles on shirts to beads on floor-grazing skirts and enormous floral appliqués on elaborate dresses. Not a collection for the faint of heart.</p></div>"
44,spring,2000,s2000,giorgio-armani,"Armani proposed a light, feminine silhouette for the new millennium, inspired by the lines and colors of Kandinsky. Sea foam, fuchsia, and lime chiffon infused his collection with a delicate dreaminess. But the Armani woman is as practical as she is ethereal, so there were also plenty of pinstriped wool pants, polished linens, and classic tops. The real innovation came in how models wore the pieces: short jackets were shown with low-waisted pants cropped at the ankle, sarongs were overlapped or doubled and floral dresses were paired with tie-dyed cashmere. Armani's explanation: ""The real woman of 2000 does not want to be hostage to the rules of fashion. She wants the freedom to create her own look with passion and a sense of self-fulfillment."" Enough said.</p></div>"
45,spring,2000,s2000,givenchy,"""Bangee sportswear with '80s influence"" could be a way of describing Alexander McQueen's show for Givenchy, staged in what was set up to look like a gymnasium complete with winner's podium and high-powered fans to blow up the models' ponytailed manes. Most of the collection was made up of tracksuits with high heels, but there was also a white leather boilersuit, sexy black pantsuits with yellow stitching, and a leather patchwork coat in brown, acid-green and white. Boxing and athletic uniform influences showed up on nylon bomber jackets, sports mesh tank dresses and blue sweaters with a sporty yellow stripe.</p></div>"
46,spring,2000,s2000,gucci,"Sex sells, and no one knows that better than Tom Ford, who declared that Spring 2000 was about ""Farrah Fawcett and Blondie, with a touch of Gwyneth Paltrow."" Indeed, Gucci's catwalk sizzled with glamorous vixens swathed in python prints, leather trainer pants and sparkling jersey dresses—a movie star's dream wardrobe, circa 1979. This is certainly not the time to be shy with your clothing. Ford also showed leather jumpsuits, fitted pants with flared legs, strappy bathing suits with barely-there running shorts, and super-shiny shirts worn unbuttoned under fitted jackets. Bright-pink hosiery, stone-encrusted sandals and oversized sunglasses underscored the rock-star dimension of the unbridled glamfest.</p></div>"
47,spring,2000,s2000,helmut-lang,"Lang played with tailoring and flouthroughout this collection, and sometimes within a single outfit. Erin O’Connor, for example, wore jeans and a single-breasted topper from which floated a sheer panel. Shorts and sleeveless dresses had balloon hems, and feathers sprouted from heels of shoes. Bombshell Stephanie Seymour looked every inch the lady in a short and stunning off-the-shoulder dress.</p></div>"
48,spring,2000,s2000,hermes,"A so-called “conceptual” designer, Martin Margiela was focused on transforming objects (upcycling) and linking the present and the past as he had observed his mother doing with restored furniture. For his own line, he had famously resized vintage doll clothing to human proportions. At Hermès, the designer’s attachment to the past was less visually marked and more connected with tradition. Curator Kaat Debo notes an exception when she explains that the very dapper and practical-looking detachable saddle pockets shown for Spring 2000 were inspired by the removable pockets worn with 18th-century pannier gowns.</p><p>With its striped sweaters, espadrilles, and a classic-looking trench, this comfortable and contemporary collection had a subtle French inflection that was directed at the modern Parisienne, not latter-day Marie Antoinettes. In fact, although Margiela consistently eschewed the obvious markers of status associated with Hermès, he publicly nodded to the history of the house by including in his runway cast the style icon Jane Birkin, who gave her name to one of the house’s best-selling bags.</p></div>"
49,spring,2000,s2000,iceberg,"Iceberg, which was brimming with youthful energy, was inspired by the topic of love. Lilac, orange, red, gold and white were the colors of choice for a broad range of silhouettes--there were '70s flared pants with appliqués, macro and miniskirts, Chaplinesque trousers and elaborate knits, most with glittering paillettes thrown in for good measure. It was a lighthearted collection that should easily find a niche in Iceberg's new Las Vegas boutique.</p></div>"
50,spring,2000,s2000,jean-colonna,"Colonna's idea of chic is certainly not that of the haute bourgeoisie: Instead think smoky nightclubs, too much to drink and illicit romances. His slinking sensibility showed up this season in fringed, semi-destroyed denim ensembles, belted handkerchief tops with lace insets, net T-shirt dresses and paillette-trimmed rock 'n' roll ensembles with revealing slashed cutouts. Without forgoing all the hard-edged glitz, Colonna also featured some of his trademark favorites--sweaters with exposed seams, deconstructed layering and reconfigured garments.</p></div>"
51,spring,2000,s2000,jean-paul-gaultier,"<em>The Love Boat</em> was Jean Paul Gaultier's inspiration for a campy cruise through vacation wear. His island runway came complete with sand, leaves, a palm tree and a little pond for models to take a dip. Vampish ocean-liner mavens with '70s coiffures opened the show with an array of boldly printed tops adorned with silk-screened faces. Recalling a tropical paradise, flowing white dresses with ruffled hems and sleeves followed. Meanwhile, some girls were fortunate enough to have with them those shipwreck essentials: cut-off shorts and miniskirts worn over bloomers. The sweet maidens were soon overcome by romantic pirates toting foulards, bandeau tops and tulle chemises. How did it all end? Glamour to the rescue, of course, in the form of black long dresses gathered at the waist and acid-colored chiffon gowns.</p></div>"
52,spring,2000,s2000,jeremy-scott,"Jeremy Scott's presentation was a brilliant finale for the collections--and a witty reply to all his detractors, who had accused him in the past of producing outlandish clothing that no one would wear. Scott encapsulated--and took a step further--the dominating themes of the season: easy luxury, '80s references and working woman sexiness. His show opened with a series of strong-shouldered tan trenches, wrap dresses and blazer suits. ""Perfect for power lunches or PTA meetings,"" said Scott, who acted as emcee. Sharply commenting on the current branding craze, Scott also produced his own series of travel totes, bags and clutches, and emblazoned them all with his name. After a long day at the office, the girls needed to relax on the tennis court, of course, wearing skimpy powder-blue knit-wrap dresses, sports jackets with removable sleeves and campy visors. And for evening wear, Scott proved that aside from biting humor and talent, he's also got plenty of spunk left. His ""Atlantis divas"" were clad in nearly pornographic pastel chiffon, reminiscent of a Swedish blue-movie starlet circa 1980. Vive <em>l'avant-garde</em>!</p></div>"
53,spring,2000,s2000,jil-sander,"Jil Sander's strength has always been her self-assured simplicity of design. This season she experimented with a lighter, more feminine silhouette that included floral patterns and western shirts. Skirts had gathered waistbands; some dresses featured sash-like pleats on the front. Sander's softer side came through in the lacy chiffons and cottons she used, and in her precise use of color. The runway evoked a procession of sculptural cascades in black and white, with sporadic flashes of brown, beige, rose and yellow.</p></div>"
